YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
1983,06,19,   37.9,   25.0,-9999.0,-9999.0,-9999.0
1983,06,20,   38.0,   25.9,-9999.0,-9999.0,-9999.0
1983,06,21,   38.0,   24.7,-9999.0,-9999.0,-9999.0
1983,06,22,   36.9,   26.0,-9999.0,-9999.0,-9999.0
1983,06,23,   37.0,   25.4,-9999.0,-9999.0,-9999.0
1983,06,24,   39.7,   26.5,-9999.0,-9999.0,-9999.0
1983,06,25,   42.7,   26.8,-9999.0,-9999.0,-9999.0
1983,06,26,   42.0,   27.8,-9999.0,-9999.0,-9999.0
1983,06,27,   41.6,   27.8,-9999.0,-9999.0,-9999.0
1983,06,28,   37.8,   27.8,-9999.0,-9999.0,-9999.0
1983,06,29,   40.6,   27.8,-9999.0,-9999.0,-9999.0
1983,06,30,   38.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,01,   37.3,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,02,   36.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,03,   39.8,   25.6,-9999.0,-9999.0,-9999.0
1983,07,04,   39.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,05,   39.3,   28.7,-9999.0,-9999.0,-9999.0
1983,07,06,   36.7,   26.9,-9999.0,-9999.0,-9999.0
1983,07,07,   39.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,08,   41.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,09,   39.3,   27.9,-9999.0,-9999.0,-9999.0
1983,07,10,   39.6,   29.7,-9999.0,-9999.0,-9999.0
1983,07,11,   42.1,   28.9,-9999.0,-9999.0,-9999.0
1983,07,12,   40.9,   28.8,-9999.0,-9999.0,-9999.0
1983,07,13,   47.0,   27.8,-9999.0,-9999.0,-9999.0
1983,07,14,   44.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,15,   44.6,   27.9,-9999.0,-9999.0,-9999.0
1983,07,16,   42.9,   27.1,-9999.0,-9999.0,-9999.0
1983,07,17,   38.8,   26.5,-9999.0,-9999.0,-9999.0
1983,07,18,   41.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,19,   43.3,   28.4,-9999.0,-9999.0,-9999.0
1983,07,20,   46.1,   29.9,-9999.0,-9999.0,-9999.0
1983,07,21,-9999.0,   30.2,-9999.0,-9999.0,-9999.0
1983,07,22,   40.8,   30.8,-9999.0,-9999.0,-9999.0
1983,07,23,   43.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,24,   42.0,   32.0,-9999.0,-9999.0,-9999.0
1983,07,25,   41.3,   32.9,-9999.0,-9999.0,-9999.0
1983,07,26,   39.6,   31.6,-9999.0,-9999.0,-9999.0
1983,07,28,   41.3,   32.0,-9999.0,-9999.0,-9999.0
1983,07,29,   38.3,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,30,   39.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,07,31,   37.8,   30.0,-9999.0,-9999.0,-9999.0
1983,08,01,   37.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,02,   40.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,03,   41.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,04,   41.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,05,-9999.0,   33.0,-9999.0,-9999.0,-9999.0
1983,08,06,   40.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,07,   41.8,   31.8,-9999.0,-9999.0,-9999.0
1983,08,08,   38.9,   31.0,-9999.0,-9999.0,-9999.0
1983,08,09,   38.3,   31.8,-9999.0,-9999.0,-9999.0
1983,08,10,   39.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,11,   37.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,12,   38.4,   28.6,-9999.0,-9999.0,-9999.0
1983,08,13,   37.3,   30.2,-9999.0,-9999.0,-9999.0
1983,08,14,   39.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,15,   41.6,   30.5,-9999.0,-9999.0,-9999.0
1983,08,16,   41.4,   30.7,-9999.0,-9999.0,-9999.0
1983,08,17,   40.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,18,   43.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,19,   41.2,   30.0,-9999.0,-9999.0,-9999.0
1983,08,20,   42.2,   31.0,-9999.0,-9999.0,-9999.0
1983,08,21,   44.7,   31.2,-9999.0,-9999.0,-9999.0
1983,08,22,   43.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,23,   44.1,   32.5,-9999.0,-9999.0,-9999.0
1983,08,24,   42.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,25,   39.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,08,26,   38.4,   30.0,-9999.0,-9999.0,-9999.0
1983,08,27,   40.2,   28.8,-9999.0,-9999.0,-9999.0
1983,08,28,   40.2,   28.4,-9999.0,-9999.0,-9999.0
1983,08,29,   41.2,   29.0,-9999.0,-9999.0,-9999.0
1983,08,30,   40.3,   29.6,-9999.0,-9999.0,-9999.0
1983,08,31,   40.6,   30.4,-9999.0,-9999.0,-9999.0
1983,09,01,   41.2,   29.6,-9999.0,-9999.0,-9999.0
1983,09,02,   39.2,   28.5,-9999.0,-9999.0,-9999.0
1983,09,03,   39.2,   28.8,-9999.0,-9999.0,-9999.0
1983,09,04,   38.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,05,   38.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,06,   37.2,   28.9,-9999.0,-9999.0,-9999.0
1983,09,07,-9999.0,   30.3,-9999.0,-9999.0,-9999.0
1983,09,08,   41.0,   29.6,-9999.0,-9999.0,-9999.0
1983,09,09,   40.4,   28.8,-9999.0,-9999.0,-9999.0
1983,09,10,   38.1,   29.9,-9999.0,-9999.0,-9999.0
1983,09,11,   36.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,12,   38.0,   28.6,-9999.0,-9999.0,-9999.0
1983,09,13,   38.7,   28.6,-9999.0,-9999.0,-9999.0
1983,09,14,   35.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,15,   35.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,16,   34.6,   25.8,-9999.0,-9999.0,-9999.0
1983,09,17,-9999.0,   26.5,-9999.0,-9999.0,-9999.0
1983,09,18,   38.3,   25.8,-9999.0,-9999.0,-9999.0
1983,09,19,   39.4,   26.3,-9999.0,-9999.0,-9999.0
1983,09,20,   35.9,   25.0,-9999.0,-9999.0,-9999.0
1983,09,21,   34.7,   25.8,-9999.0,-9999.0,-9999.0
1983,09,22,   35.2,   24.8,-9999.0,-9999.0,-9999.0
1983,09,23,   39.9,   25.6,-9999.0,-9999.0,-9999.0
1983,09,24,-9999.0,   25.4,-9999.0,-9999.0,-9999.0
1983,09,25,   38.2,   23.6,-9999.0,-9999.0,-9999.0
1983,09,26,   39.4,   23.4,-9999.0,-9999.0,-9999.0
1983,09,27,   38.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,09,28,   37.3,   23.8,-9999.0,-9999.0,-9999.0
1983,09,29,   36.1,   26.0,-9999.0,-9999.0,-9999.0
1983,09,30,   36.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,01,   36.9,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,02,   37.5,   25.6,-9999.0,-9999.0,-9999.0
1983,10,03,   36.8,   21.5,-9999.0,-9999.0,-9999.0
1983,10,04,   36.9,   23.9,-9999.0,-9999.0,-9999.0
1983,10,05,   35.8,   23.7,-9999.0,-9999.0,-9999.0
1983,10,06,   35.3,   24.9,-9999.0,-9999.0,-9999.0
1983,10,07,   35.7,   24.8,-9999.0,-9999.0,-9999.0
1983,10,08,   32.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,09,   32.8,   21.3,-9999.0,-9999.0,-9999.0
1983,10,10,   36.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,11,   35.7,   22.5,-9999.0,-9999.0,-9999.0
1983,10,12,   34.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,13,-9999.0,   21.3,-9999.0,-9999.0,-9999.0
1983,10,14,   34.2,   20.9,-9999.0,-9999.0,-9999.0
1983,10,15,   32.6,   22.0,-9999.0,-9999.0,-9999.0
1983,10,16,   34.2,   21.6,-9999.0,-9999.0,-9999.0
1983,10,18,   34.0,   22.4,-9999.0,-9999.0,-9999.0
1983,10,20,   35.3,   21.6,-9999.0,-9999.0,-9999.0
1983,10,21,   34.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,22,   33.2,   22.7,-9999.0,-9999.0,-9999.0
1983,10,23,   32.6,-9999.0,    4.1,-9999.0,-9999.0
1983,10,24,   33.4,   22.0,    0.0,-9999.0,-9999.0
1983,10,25,   32.6,   21.7,-9999.0,-9999.0,-9999.0
1983,10,26,   32.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,27,   33.5,   19.6,-9999.0,-9999.0,-9999.0
1983,10,28,   34.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,29,   31.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,10,30,   31.6,   19.9,-9999.0,-9999.0,-9999.0
1983,10,31,   35.1,   18.0,-9999.0,-9999.0,-9999.0
1983,11,01,   33.5,   16.9,-9999.0,-9999.0,-9999.0
1983,11,02,-9999.0,   19.4,-9999.0,-9999.0,-9999.0
1983,11,03,   31.4,   20.0,-9999.0,-9999.0,-9999.0
